Council,Council type,Infringement notices
Ashburton District,Territorial authority,3
Auckland,Unitary authority,1210
Bay of Plenty Regional,Regional council,31
Buller District,Territorial authority,0
Carterton District,Territorial authority,0
Central Hawke's Bay District,Territorial authority,0
Central Otago District,Territorial authority,0
Chatham Islands,Unitary authority,0
Christchurch City,Territorial authority,56
Clutha District,Territorial authority,0
Dunedin City,Territorial authority,1
Environment Canterbury,Regional council,100
Environment Southland,Regional council,32
Far North District,Territorial authority,12
Gisborne District,Unitary authority,0
Gore District,Territorial authority,0
Greater Wellington Regional,Regional council,27
Grey District,Territorial authority,0
Hamilton City,Territorial authority,2
Hastings District,Territorial authority,5
Hauraki District,Territorial authority,0
Hawke's Bay Regional,Regional council,101
Horizons Regional,Regional council,69
Horowhenua District,Territorial authority,1
Hurunui District,Territorial authority,1
Hutt City,Territorial authority,6
Invercargill City,Territorial authority,0
Kaikoura District,Territorial authority,0
Kaipara District,Territorial authority,25
Kapiti Coast District,Territorial authority,8
Kawerau District,Territorial authority,0
Mackenzie District,Territorial authority,0
Manawatu District,Territorial authority,3
Marlborough District,Unitary authority,50
Masterton District,Territorial authority,0
Matamata-Piako District,Territorial authority,1
Napier City,Territorial authority,0
Nelson City,Unitary authority,15
New Plymouth District,Territorial authority,3
Northland Regional,Regional council,187
Opotiki District,Territorial authority,0
Otago Regional,Regional council,26
Otorohanga District,Territorial authority,
Palmerston North City,Territorial authority,6
Porirua City,Territorial authority,0
Queenstown-Lakes District,Territorial authority,8
Rangitikei District,Territorial authority,0
Rotorua Lakes District,Territorial authority,0
Ruapehu District,Territorial authority,0
Selwyn District,Territorial authority,4
South Taranaki District,Territorial authority,2
South Waikato District,Territorial authority,0
South Wairarapa District,Territorial authority,0
Southland District,Territorial authority,0
Stratford District,Territorial authority,0
Taranaki Regional,Regional council,112
Tararua District,Territorial authority,0
Tasman District,Unitary authority,63
Taupo District,Territorial authority,10
Tauranga City,Territorial authority,0
Thames-Coromandel District,Territorial authority,3
Timaru District,Territorial authority,0
Upper Hutt City,Territorial authority,0
Waikato District,Territorial authority,16
Waikato Regional,Regional council,104
Waimakariri District,Territorial authority,1
Waimate District,Territorial authority,0
Waipa District,Territorial authority,0
Wairoa District,Territorial authority,0
Waitaki District,Territorial authority,5
Waitomo District,Territorial authority,0
Wellington City,Territorial authority,35
West Coast Regional,Regional council,27
Western Bay of Plenty District,Territorial authority,0
Westland District,Territorial authority,0
Whakatane District,Territorial authority,0
Whanganui District,Territorial authority,0
Whangarei District,Territorial authority,2
